"","Site","region","FIntMeanx","FIntcofv","MSPAdynM","MSPAdynCf","ESAcmeant","ESAccfvt","DisAmeanest","DisAmeanadjR2","DisAcoefvadjR2","DisVmeanest","DisVmeanadjR2","DisVcoefvest","DisVcoefvadjR2","Tmaxp90Feb","Tmaxp90Jul","TmaxRadj","Tmaxsigma","Precp10May","HumeRadj","Humesigma","evi90trend","evi90season","evi90peak","Seasigmaevi","Seasigcvevi","BNBmeanIndx","BNBmeantmpvarx","BNBcoefvIndx","BNBcoefvtmpvarx","CHeiMeanx","CHeiStdx","area","perimetro","DecLat","DecLong","DistMeanx"
"282",212,"Llanos",10.3691828940544,4.22740301944883,-0.00280747711853202,0.000487174435629179,23,0,-1604.94822632783,0.604918938042956,0.72069874007754,-0.162343123198053,-0.371475870688236,-3.02319148596999e-05,-0.28541307895941,34.3300018310547,30.2600002288818,0.753413811138296,0.638833823785625,250.229995727539,0.803363018759666,2.99385068884689,0.16680461184067,0.527454151486068,1.20934786330685,0.0771391073141442,0.216428307400139,1.42244190443307,0.427744848653674,0.622479946156961,0.254597641497963,10.9158328146694,2.16173173166321,18903187,50416,6.89561,-70.534,0.00935982781921017
"283",210,"Llanos",10.3136506605158,3.76814989244167,-1.65833293819401,0.0266399958228237,23,0,-1628.10196891215,0.602120864646042,0.661613285904837,-16.7863499356145,0.612412704359669,-1.08326449219614e-05,-0.479125558937503,34.4199981689453,30.2800006866455,0.756435159588281,0.641329373103036,250.929992675781,0.805243450738602,2.86221348979585,0.193107734833793,0.600848882858,1.43974469907141,0.0819947661112587,0.137509719927396,1.6403539294475,0.457569854824167,1.27547918561119,0.193770424994519,11.1768626110731,1.9103434481736,21258435,62757,6.87916,-70.4447,0.209101433787514
"284",209,"Llanos",9.76776556776557,3.13404052051176,0,0,23,0,-1493.03481891333,0.608368914524477,0.683055185213527,-392.777433247476,0.56666758369695,0.0109395108577453,0.565366222335054,34.4700012207031,30.3199996948242,0.768108491599076,0.630318928655113,251.705001831055,0.808206341152171,2.74772175949819,0.108144231534925,0.496299369660493,1.42672871453862,0.0635814852060752,0.161267042149002,7.25195932388306,0.0861180201172829,NA,NA,10.8655913978495,1.96226478483368,1211783,11066,6.75639,-70.4502,0
"285",208,"Llanos",8.35526315789474,1.91762431888344,0,NA,23,0,-1620.07230538321,0.601304965870765,0.649881519270232,-129.300752429221,0.571127317787714,0.00745370385023545,0.56897249889136,34.5099983215332,30.2999992370605,0.761993731037466,0.641577211298976,251.399993896484,0.807612334600409,2.73211746701756,0.060256602403957,0.59008022077394,1.19939222933058,0.0616410514713056,0.186549061050437,3.76617050170898,0.53041073679924,0.59918618966919,0.328533834440529,9.51626168224299,2.51249998543724,2561237,19322,6.83551,-70.3527,0.0651128375878653
"286",207,"Llanos",7.56190476190476,1.68609814447203,0,NA,23,0,-1705.7513340513,0.589306939913209,0.584576768662316,-0.917424135397884,-0.0767493587950916,7.29414080181348e-06,0.769921339461185,34.560001373291,30.3089994430542,0.749675986990713,0.658885571926683,251.672003173828,0.802683207704383,2.64789812339565,0.0344417691686085,0.669538762029122,2.79606915151589,0.0767046201660741,0.168496321334677,0,NA,NA,NA,9.72380952380952,2.27230498907386,93059,1383,6.9339,-70.1915,0
"287",206,"Llanos",9.93683409436834,3.37412604264591,-1,NA,23,0,-1721.89407439595,0.585743199998026,0.594348380875551,-1.0925984953251,0.0811538396969277,5.44588514312447e-06,0.49227587855424,34.5380004882812,30.2680004119873,0.745522161484168,0.661800251305107,253.864004516602,0.801093050220907,2.53881653389033,0.179365246337396,0.402060349785639,3.68784769675286,0.072607307283444,0.29695455306727,2.23934923774666,0.466263175010681,1.16809077361834,0.36681895091413,10.6311200536553,1.9536776590944,1344914,9235,6.97633,-70.1373,0.146324054246966
"288",239,"Llanos",9.11892361111111,2.6645562769426,0,NA,23,0,-1306.23995243071,0.613782184046737,0.641096941469917,-0.815239013255329,0.70910291631164,2.25561301185699e-05,-0.0170948796148347,34.7299995422363,30.4099998474121,0.792818042335982,0.613886388443715,266.897998046875,0.813158884956026,2.44611645127338,0.0834875193247909,0.529738016969507,0.103067022659414,0.0682179322221839,0.259816144752477,2.03086113929749,0.42030531167984,NA,NA,11.2052205220522,2.23429649547785,1027359,10166,6.47066,-70.3056,0.103896103896104
"289",240,"Llanos",10.0808701820761,3.76719386399092,0,NA,23,0,-1279.84237109648,0.614118923594791,0.674234802707762,-0.559904650297879,0.749695546510098,0.000201326877094062,0.742079525060163,34.8300018310547,30.4400005340576,0.798697318455564,0.61087913826537,270.452008056641,0.813675399510257,2.39205443777654,0.0920266970531275,0.407561990603958,1.98146991391871,0.0601832423177175,0.174901807289714,3.93659280406104,0.44323628809717,1.5122425617463,0.183318250476167,10.8028509301764,1.98655176333936,7564599,42386,6.39479,-70.2533,0.0243628185907046
"290",241,"Llanos",10.5512061902594,4.71317537463649,0,NA,23,0,-1390.90857714842,0.576227214102357,0.570185489512094,-0.414844902327319,0.511793791365939,-2.41804199781072e-05,-0.366309376971468,34.8899993896484,30.4599990844727,0.803167488041589,0.61110194174123,279.541006469727,0.814650660277015,2.35776004859769,0.0968824031538746,0.300296285441376,0.958042352678765,0.0553525013548328,0.267871244588067,1.33698908487956,0.46926075220108,0.249053399039915,0.123579591470356,10.9778188539741,1.84400107018104,1961088,11808,6.34269,-70.1765,0
"291",242,"Llanos",4.21212121212121,0.918477385824421,0,NA,22,NA,-1626.72790293096,0.575972121558128,0.582918357432213,0.398513695427797,-0.305941362231446,9.48444245285098e-06,-0.322907261239132,34.9199981689453,30.4749994277954,0.801262703392757,0.620539166766028,284.745010375977,0.813807307957013,2.34947260938043,0.116707390328761,0.318686505346617,1.63638889403858,0.0593509869462297,0.178189637402005,0.402566105127335,0.0864516198635101,NA,NA,7.3,3.31508611024923,61072,1722,6.28813,-70.153,0.0606060606060606
