porcentaje de bosque;area cuenca ha;pendiente;temperatura promedio mensual;precipitacion promedio anual;indice;pendienteRegulacion;altitud;wyield;ws;dep;serie;region
0;8005.01;5.314496046;31.75440355;1011.242437;31.84573867;-0.509074294;94.08245087;348.9601422;7;bol;mosaico medio;1
0;12734.4;7.076769424;31.15054082;1179.252151;37.85655465;-0.598477632;125.0820694;537.7061408;8;bol;mosaico medio;1
0;4838.35;6.13157768;31.22743338;1162.124156;37.21484702;-0.580542325;71.50912476;515.812218;9;bol;mosaico medio;1
0;37347.7;10.65864352;31.00425475;1394.042133;44.9629299;-0.6999622;229.5780945;697.7701411;10;bol;mosaico medio;1
0;1069.67;7.955968007;31.27114033;1207.423641;38.61143624;-0.549336399;73.48313904;633.1569968;11;bol;mosaico medio;1
0;1563.87;7.940550061;31.44421407;1219.54525;38.78440871;-0.557778049;83.59362793;597.2494881;13;bol;mosaico medio;1
0;18131.3;9.187429018;32.45012221;1353.288181;41.70363897;-0.70157085;111.9420929;586.0600403;14;bol;mosaico medio;1
0;10463.7;8.439163458;32.86586414;1304.180466;39.68191618;-0.681102581;115.1747894;589.2275608;15;bol;mosaico medio;1
0;9247.02;8.926790518;32.70089372;1314.556395;40.19940269;-0.690441506;149.3002777;615.3081174;16;bol;mosaico medio;1
0;12168.7;6.296587523;32.37622426;1223.07723;37.77701872;-0.632294138;74.7952652;533.1719958;17;bol;mosaico medio;1
0;1154.99;5.029927697;31.41841401;1196.755929;38.09090836;-0.545124948;31.69630241;505.8727499;18;bol;mosaico medio;1
0;1845.26;6.065169801;31.58294971;1224.21625;38.76193519;-0.621099954;68.87474823;537.9226411;19;bol;mosaico medio;1
0;3689.19;3.999968925;31.00671974;1206.277287;38.90373755;-0.488241707;38.92639542;472.2399605;20;bol;mosaico medio;1
0;638.945;4.800878758;31.15251967;1192.202386;38.26985421;-0.069022157;28.75091743;522.3145206;22;bol;mosaico medio;1
0;19605.6;9.125402666;30.34167583;335.9590554;11.07252801;-0.93232688;102.4736023;39.9337263;2;bol;mosaico seco;1
0;40848.5;9.12235097;29.39992866;344.5232367;11.71850587;-0.918586181;117.0733643;42.54700203;3;bol;mosaico seco;1
0;15279.3;9.96574655;31.84263238;343.7705055;10.7959198;-0.8863172;125.4099197;32.65163267;4;bol;mosaico seco;1
0;73688.4;8.679194884;30.569623;355.6865411;11.63529367;-0.650582215;224.8914185;56.15918236;6;bol;mosaico seco;1
0;8005.01;5.314496046;30.8026027;280.5873058;9.109207703;-0.509074294;94.08245087;19.44650221;7;bol;mosaico seco;1
0;12734.4;7.076769424;30.47023834;331.3283718;10.87383591;-0.598477632;125.0820694;55.37807015;8;bol;mosaico seco;1
